,title,price
61,Xiaomi Redmi 10C LTE (4GB/64GB) (4GB/128GB) Original Xiaomi Malaysia Set,RM529.00
62,REDMI NOTE 10 PRO (8+128GB) 120Hz Display 33W Fast Charge | 1 Year Malaysia Xiaomi Warranty | READY STOCK,RM999.00
63,[New] Redmi A1 4G LTE (2GB/32GB) | 1 Year Warranty by Xiaomi Malaysia,RM359.00
64,Original Redmi A1 2GB+32GB One Year Warranty By Xiaomi Malaysia,RM299.00
65,Redmi Note 3 3+64 98% new (original )-FULL SET BOX,RM199.00
66,Redmi 8A Smartphone (4GB + 64GB) Snapdragon 439 Octa Core Used Phone 95% like new 100% Original Playstore,RM380.00
67,"[Ready Stock] Xiaomi Redmi A1 | 2+32GB | Mediatek Helio A22 | 6.52"" Screen Display | 5000mAh Battery",RM359.00
68,[New] Redmi A1 4G LTE (2GB/32GB) | 1 Year Warranty by Xiaomi Malaysia,RM359.00
69,[Malaysia Set] Redmi 10C (64GB ROM / 128GB ROM + 4GB RAM) Smartphone with 1 Year Xiaomi Malaysia Warranty,RM529.00
70,***ORIGINAL MY SET WARRANTY*** REDMI NOTE 11 6 RAM + 128 GB with VARIOUS FREE GIFT,RM799.00
71,REDMI 9A [2GB+32GB] / REDMI 9C [4+128GB] - 100% ORIGINAL,RM348.00
72,REDMI Note 11 Pro 5G (8GB+128GB) Polar White UM,"RM1,299.00"
73,Xiaomi Redmi Note 10S [8GB+128GB] Original Malaysia Set | 1 Year Warranty by Xiaomi Malaysia,RM899.00
74,[Malaysia Set] Redmi A1 (32GB ROM | 2GB RAM) 1 Year Xiaomi Malaysia Warranty,RM329.00
75,Xiaomi Redmi 10 (6GB+128GB) 50MP Ultra-clear Quad Camera 90Hz FHD+ Display,RM699.00
76,REDMI NOTE 4 (3GB+64GB) - Refurbished Set,RM375.00
77,Redmi 4x 2GB Ram/32GB Rom 4G LTE Fingerprint Access Original Used,RM189.00
78,Xiaomi Redmi Note 9 Pro (6GB RAM + 128 ROM / 5020mAh / Qualcomm® Snapdragon™ 720G),RM999.00
79,"Xiaomi Redmi 10A Smartphone with MediaTek Helio G25, 6.53"" Display, 3GB RAM+64GB ROM, 5000 mAh Battery",RM479.00
80,[Malaysia Set] Xiaomi Redmi Note 11 Pro 5G 8GB RAM + 128GB ROM New With 1 Year Warranty By Xiaomi Malaysia,"RM1,399.00"
81,[EASY] Redmi 5 Plus (3GB+32GB) Secondhand Used 95% New Condition,RM269.00
82,REDMI 9C (4+128),RM529.00
83,REDMI 9A [2GB+32GB] / REDMI 9C [4+128GB] - 100% ORIGINAL,RM348.00
84,PRE ORDER- REDMI NOTE 12 PRO PLUS CN-ETA 9days@ Fastech Lim,"RM1,475.00"
85,PRE ORDER- REDMI NOTE 12 PRO CN-ETA 9days@ Fastech Lim,"RM1,221.00"
86,READY STOCK 100% ORIGINAL REDMI 10 6RAM 128GB ROM,RM799.00
87,***ORIGINAL MY SET WARRANTY*** REDMI NOTE 10S 8 RAM + 128 GB with VARIOUS FREE GIFT,RM899.00
88,"[Ready Stock Ship From KL] Xiaomi Redmi 9c 3+64GB 6.53' | Xiaomi Redmi 10C 4+64GB/128GB NEW 6.71' , 5000mAh Battery Original Smartphone (3GB Ram + 64GB Rom) 1 Year Warranty By Xiaomi Malaysia!!",RM429.00
89,Xiaomi Mi A3 ( 4GB+ 64GB) New Display unit Malaysia Set,RM599.00
90,REDMI NOTE 11 / NOTE 11S / NOTE 11S 5G - ORIGINAL XIAOMI MALAYSIA,RM799.00
91,Xiaomi Redmi 10c Smartphone (128gb/4gb) (64gb/4gb) - Official 1 Year Xiaomi Malaysia Warranty,RM529.00
92,Realme GT Neo 3 Naturo Edition 2022 / Original / Limited Edition Realme x Naruto(PRE ORDER),"RM1,990.00"
93,[Malaysia Set] Xiaomi Redmi Note 11 Pro 8GB RAM + 128GB ROM New With 1 Year Warranty By Xiaomi Malaysia,"RM1,299.00"
94,[Malaysia Set] Xiaomi Redmi 10C 4GB RAM + 64GB ROM | 4GB RAM + 128GB ROM New With 1 Year Warranty By Xiaomi Malaysia,RM599.00
95,Redmi Note 11S 5G (6+128GB) | 1 Year XIAOMI Malaysia Warranty,RM899.00
96,Xiaomi Redmi 9A (2GB RAM + 32GB ROM)Smartphone (1 Year Malaysia Warranty),RM369.00
97,Xiaomi Redmi Note 11 (6GB+128GB) / Redmi Note 11S (8GB+128GB) Original Xiaomi Malaysia Warranty,RM770.00
98,REDMI POCO X3 GT 5G,"RM1,599.00"
99,[New] Redmi A1 4G LTE (2GB/32GB) | 1 Year Warranty by Xiaomi Malaysia,RM359.00
100,REDMI 4A 2+16 ORI USED (FULL SET),RM150.10
101,[READY STOCK] REDMI NOTE 11 PRO 5G| FREE 9 GIFTS | FREE GIFTS WORTH RM189 | 8GB RAM + 128GB ROM | 108MP Camera | 5000mAh,"RM1,226.00"
102,[READY STOCK] REDMI 10C | FREE 8 GIFTS | FREE GIFTS WORTH RM149 | 4GB RAM + 64GB ROM | 50MP Dual Camera | 5000mAh,RM530.00
103,[MY Set] Redmi Note 11 Pro | Note 11 Pro 5G (8GB RAM+128GB ROM)- 1 Year Xiaomi Malaysia Warranty,"RM1,050.00"
104,"Redmi Note11S 5G (6GB+128GB) 6.6""IPS LCD 90Hz | MediaTekDimensity 810 5G | 50MPTriple Rear Camera | 5000mAh & 33W Charge",RM925.00
105,[Malaysia Set] Redmi 10 2022 (128GB ROM + 4GB RAM) 1 Year Xiaomi Malaysia Warranty,RM639.00
106,(FREE AIRDOTS) REDMI NOTE 10S 8GB RAM 128GB ROM (MI MALAYSIA WARRANTY),RM899.00
107,[Malaysia Set] Xiaomi Redmi Note 11 Pro 5G 8GB RAM + 128GB ROM New With 1 Year Warranty By Xiaomi Malaysia,"RM1,399.00"
108,Redmi K40 Pro / Redmi K40 Pro + 5G Phone Snapdragon 888 Smartphone MI K40 Redmi k40 pro + k40pro NEW SET. XIAOMI MI,"RM2,095.00"
109,"Redmi 10C (4+64GB/4+128GB) |6.71"" Large Display |Snapdragon 680 |1 Year Malaysia Xiaomi Warranty |Ready Stock",RM559.00
110,"Redmi 10A (3+64GB/4+128GB) |5000mAh Battery 10W Fast Charging |6.53"" HD+ Display |1 Year Malaysia Xiaomi | Ready Stock",RM479.00
111,Redmi 9A (2GB RAM + 32GB ROM) 5000mAh Battery| 1 Year Malaysia Xiaomi Warranty | READY STOCK,RM369.00
112,Xiaomi Redmi Note 4 4GB + 64GB NEW Set (Pink),"RM1,099.00"
113,Redmi note 10s 8/128,RM749.00
