,title,price
109,Apple iPhone 13 Pro Max,"RM5,299.00"
110,Apple iPhone 13,"RM3,899.00"
111,Apple iPhone 13 Pro (128GB / 256GB / 512GB / 1TB) - 1 Year Apple Warranty,"RM5,049.00"
112,iPhone 13 Pro Max,"RM5,299.00"
113,iPhone 13 Mini,"RM3,399.00"
114,Apple iPhone 13,"RM3,599.00"
115,Apple iPhone 13 mini,"RM3,399.00"
116,Apple iPhone 12 mini,"RM3,399.00"
117,Apple iPhone 12,"RM3,399.00"
118,Apple iPhone 12 Pro,"RM4,899.00"
119,Apple iPhone 12 Pro Max,"RM5,299.00"
120,iPhone 12,"RM3,399.00"
121,iPhone 12 mini,"RM2,899.00"
122,Apple iPhone SE 256GB,"RM2,699.00"
123,Apple iPhone 11,"RM2,399.00"
